#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A37492
#Date Time: 2023-06-27 08:42:32.768
#Sample rate: 80Hz
#Samples: 4991
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-37.5125,2.249638163135283
-37.5,2.191061511982084
-37.4875,2.128823820131811
-37.475,2.066586128281538
-37.4625,1.99336531434004
-37.45,1.916483459701467
-37.4375,1.839601605062894
-37.425,1.770041831818471
-37.4125,1.715126221362348
-37.4,1.660210610906224
-37.3875,1.601633959753026
-37.375,1.532074186508603
-37.3625,1.46251441326418
-37.35,1.403937762110982
-37.3375,1.360005273746083
-37.325,1.341700070260709
-37.3125,1.345361110957783
-37.3,1.370988395837308
-37.2875,1.414920884202207
-37.275,1.466175453961255
-37.2625,1.521091064417379
-37.25,1.586989796964727
-37.2375,1.667532692300374
-37.225,1.755397669030172
-37.2125,1.846923686457044
-37.2,1.927466581792692
-37.1875,2.008009477128339
-37.175,2.088552372463987
-37.1625,2.16543422710256
-37.15,2.234994000346983
-37.1375,2.300892732894331
-37.125,2.370452506138754
-37.1125,2.447334360777327
-37.1,2.5242162154159
-37.0875,2.604759110751548
-37.075,2.68164096539012
-37.0625,2.765844901422843
-37.05,2.872015081638015
-37.0375,2.989168383944412
-37.025,3.120965849039108
-37.0125,3.139271052524482
-37,3.080694401371284
-36.9875,3.022117750218086
-36.975,2.967202139761962
-36.9625,2.915947570002913
-36.95,2.86835404094094
-36.9375,2.817099471181892
-36.925,2.729234494452094
-36.9125,2.604759110751548
-36.9,2.480283727051001
-36.8875,2.381435628229979
-36.875,2.32285897707678
-36.8625,2.286248570106032
-36.85,2.271604407317732
-36.8375,2.260621285226507
-36.825,2.249638163135283
-36.8125,2.227671918952833
-36.8,2.198383593376234
-36.7875,2.169095267799635
-36.775,2.139806942223036
-36.7625,2.110518616646436
-36.75,2.081230291069837
-36.7375,2.059264046887388
-36.725,2.026314680613714
-36.7125,1.975060110854665
-36.7,1.912822419004392
-36.6875,1.839601605062894
-36.675,1.759058709727247
-36.6625,1.671193732997449
-36.65,1.576006674873502
-36.6375,1.46983649465833
-36.625,1.356344233049008
-36.6125,1.239190930742612
-36.6,1.11837658773914
-36.5875,0.9939012040385936
-36.575,0.8657647796409723
-36.5625,0.7376283552433509
-36.55,0.6241360936340292
-36.5375,0.6058308901486548
-36.525,0.6058308901486548
-36.5125,0.6058308901486548
-36.5,0.6058308901486548
-36.4875,0.6058308901486548
-36.475,0.6058308901486548
-36.4625,0.6058308901486548
-36.45,0.6058308901486548
-36.4375,0.6058308901486548
-36.425,0.6058308901486548
-36.4125,0.6058308901486548
-36.4,0.6058308901486548
-36.3875,0.6058308901486548
-36.375,0.6058308901486548
-36.3625,0.6241360936340292
-36.35,0.7229841924550514
-36.3375,0.8328154133672983
-36.325,0.9499687156736949
-36.3125,1.063460977283017
-36.3,1.165970116801114
-36.2875,1.264818215622136
-36.275,1.363666314443158
-36.2625,1.466175453961255
-36.25,1.576006674873502
-36.2375,1.696821017876974
-36.225,1.846923686457044
-36.2125,2.018992599219564
-36.2,2.224010878255758
-36.1875,2.450995401474402
-36.175,2.685302006087195
-36.1625,2.926930692094138
-36.15,3.139271052524482
-36.1375,3.322323087378227
-36.125,3.465103674564148
-36.1125,3.55662969199102
-36.1,3.596901139658844
-36.0875,3.585918017567619
-36.075,3.534663447808571
-36.0625,3.454120552472923
-36.05,3.358933494348976
-36.0375,3.252763314133804
-36.025,3.135610011827407
-36.0125,3.014795668823936
-36,2.886659244426315
-35.9875,2.751200738634543
-35.975,2.619403273539847
-35.9625,2.491266849142226
-35.95,2.374113546835829
-35.9375,2.271604407317732
-35.925,2.18007838989086
-35.9125,2.103196535252287
-35.9,2.037297802704939
-35.8875,1.98604323294589
-35.875,1.942110744580992
-35.8625,1.901839296913168
-35.85,1.868889930639493
-35.8375,1.83594056436582
-35.825,1.799330157395071
-35.8125,1.762719750424321
-35.8,1.726109343453573
-35.7875,1.685837895785749
-35.775,1.638244366723775
-35.7625,1.594311878358876
-35.75,1.543057308599828
-35.7375,1.491802738840779
-35.725,1.440548169081731
-35.7125,1.389293599322682
-35.7,1.341700070260709
-35.6875,1.294106541198735
-35.675,1.250174052833836
-35.6625,1.202580523771863
-35.65,1.162309076104039
-35.6375,1.13302075052744
-35.625,1.122037628436215
-35.6125,1.122037628436215
-35.6,1.136681791224515
-35.5875,1.154986994709889
-35.575,1.176953238892338
-35.5625,1.198919483074788
-35.55,1.224546767954312
-35.5375,1.250174052833836
-35.525,1.272140297016286
-35.5125,1.301428622592885
-35.5,1.319733826078259
-35.4875,1.338039029563634
-35.475,1.356344233049008
-35.4625,1.374649436534383
-35.45,1.396615680716832
-35.4375,1.422242965596356
-35.425,1.45519233187003
-35.4125,1.495463779537854
-35.4,1.565023552782277
-35.3875,1.678515814391599
-35.375,1.83594056436582
-35.3625,2.022653639916639
-35.35,2.231332959649908
-35.3375,2.440012279383177
-35.325,2.630386395631072
-35.3125,2.802455308393592
-35.3,2.945235895579513
-35.2875,3.05506711649176
-35.275,3.124626889736183
-35.2625,3.157576256009857
-35.25,3.161237296706931
-35.2375,3.139271052524482
-35.225,3.091677523462509
-35.2125,3.03310087230931
-35.2,2.967202139761962
-35.1875,2.901303407214614
-35.175,2.824421552576041
-35.1625,2.736556575846244
-35.15,2.641369517722296
-35.1375,2.542521418901274
-35.125,2.443673320080252
-35.1125,2.355808343350454
-35.1,2.282587529408957
-35.0875,2.231332959649908
-35.075,2.191061511982084
-35.0625,2.16543422710256
-35.05,2.147129023617186
-35.0375,2.132484860828886
-35.025,2.117840698040586
-35.0125,2.095874453858137
-35,2.066586128281538
-34.9875,2.029975721310789
-34.975,1.982382192248815
-34.9625,1.931127622489767
-34.95,1.879873052730718
-34.9375,1.82861848297167
-34.925,1.777363913212621
-34.9125,1.729770384150648
-34.9,1.689498936482824
-34.8875,1.65654957020915
-34.875,1.623600203935476
-34.8625,1.594311878358876
-34.85,1.568684593479352
-34.8375,1.550379389993978
-34.825,1.535735227205678
-34.8125,1.535735227205678
-34.8,1.539396267902753
-34.7875,1.550379389993978
-34.775,1.568684593479352
-34.7625,1.590650837661802
-34.75,1.612617081844251
-34.7375,1.6345833260267
-34.725,1.65654957020915
-34.7125,1.678515814391599
-34.7,1.700482058574048
-34.6875,1.715126221362348
-34.675,1.722448302756498
-34.6625,1.722448302756498
-34.65,1.722448302756498
-34.6375,1.726109343453573
-34.625,1.722448302756498
-34.6125,1.722448302756498
-34.6,1.718787262059423
-34.5875,1.726109343453573
-34.575,1.759058709727247
-34.5625,1.83594056436582
-34.55,1.964076988763441
-34.5375,2.125162779434736
-34.525,2.304553773591406
-34.5125,2.491266849142226
-34.5,2.670657843298895
-34.4875,2.828082593273116
-34.475,2.956219017670737
-34.4625,3.04774503509761
-34.45,3.102660645553733
-34.4375,3.128287930433257
-34.425,3.120965849039108
-34.4125,3.095338564159583
-34.4,3.05506711649176
-34.3875,3.000151506035636
-34.375,2.937913814185363
-34.3625,2.87567612233509
-34.35,2.809777389787742
-34.3375,2.740217616543319
-34.325,2.670657843298895
-34.3125,2.597437029357398
-34.3,2.520555174718825
-34.2875,2.454656442171477
-34.275,2.396079791018278
-34.2625,2.348486261956305
-34.25,2.311875854985556
-34.2375,2.282587529408957
-34.225,2.260621285226507
-34.2125,2.242316081741133
-34.2,2.220349837558683
-34.1875,2.194722552679159
-34.175,2.161773186405485
-34.1625,2.121501738737661
-34.15,2.077569250372763
-34.1375,2.033636762007864
-34.125,1.989704273642965
-34.1125,1.938449703883917
-34.1,1.879873052730718
-34.0875,1.817635360880445
-34.075,1.762719750424321
-34.0625,1.711465180665273
-34.05,1.663871651603299
-34.0375,1.623600203935476
-34.025,1.590650837661802
-34.0125,1.572345634176427
-34,1.565023552782277
-33.9875,1.561362512085202
-33.975,1.561362512085202
-33.9625,1.565023552782277
-33.95,1.576006674873502
-33.9375,1.590650837661802
-33.925,1.608956041147176
-33.9125,1.627261244632551
-33.9,1.64190540742085
-33.8875,1.652888529512075
-33.875,1.660210610906224
-33.8625,1.663871651603299
-33.85,1.667532692300374
